arm,n_genes,depth_r2_median,depth_r2_mean,depth_r2_p90,frac_depth_r2_gt_0.10,frac_depth_r2_gt_0.25,series_eta2_median,series_eta2_mean,series_eta2_p90,frac_series_eta2_gt_0.50
centrality_only,2765,0.282106208164224,0.3790768150586635,0.7808191164389088,0.6698010849909584,0.5150090415913201,0.8248663879392873,0.8080095597429207,0.871530076969686,0.9775768535262206
variance_only,3522,0.340422568639436,0.36851798085218623,0.6725195626984469,0.9108461101646792,0.6394094264622374,0.8593935692838779,0.8437623437659514,0.8971996536279001,0.9934696195343555
kegg,114,0.2822615703971518,0.3268173001295286,0.6637188329467675,0.7982456140350878,0.5175438596491229,0.8518121437043066,0.8419664148807571,0.9166758504213124,0.9912280701754386
multi_source,840,0.4249605355193236,0.4216144715102617,0.7419812389361716,0.8107142857142857,0.6011904761904762,0.8918964844145962,0.889778715015736,0.91951196735662,0.9988095238095238
random_universe,4000,0.12495994501057639,0.23769716715543257,0.6809851967194193,0.54575,0.34225,0.7229799575057066,0.6925411678099863,0.8564341802188316,0.8765
