reference,detection_stratum,n_centrality_only,n_random_universe,depth_r2_centrality_only,depth_r2_random_universe,series_eta2_centrality_only,series_eta2_random_universe,n_variance_only,depth_r2_variance_only,series_eta2_variance_only
vs_random_universe,"(-0.001, 0.2]",328,648.0,0.016050537166433378,0.01701956436725697,0.7613294307457957,0.5311605505528176,,,
vs_random_universe,"(0.2, 0.4]",353,720.0,0.0481137017101386,0.046725371123577886,0.8101863531429316,0.6185984061062286,,,
vs_random_universe,"(0.4, 0.6]",210,517.0,0.07602025753206797,0.09070219319410958,0.805612123723756,0.6537814231232296,,,
vs_random_universe,"(0.6, 0.8]",187,610.0,0.12527423539830554,0.1593604307118431,0.791621118972234,0.710381272822711,,,
vs_random_universe,"(0.8, 1.0]",1687,1505.0,0.7036193411472531,0.5309013470196857,0.83716662259919,0.8178643872716002,,,
vs_variance_only,"(0.2, 0.4]",353,,0.0481137017101386,,0.8101863531429316,,41.0,0.04576209036411508,0.8426660852784134
vs_variance_only,"(0.4, 0.6]",210,,0.07602025753206797,,0.805612123723756,,147.0,0.08045650392483018,0.838887229762977
vs_variance_only,"(0.6, 0.8]",187,,0.12527423539830554,,0.791621118972234,,497.0,0.14917733881801504,0.8352852439945042
vs_variance_only,"(0.8, 1.0]",1687,,0.7036193411472531,,0.83716662259919,,2832.0,0.418637818139856,0.8631753382449088
