column,depth_r2,series_eta2,detection,mean_expr,arm,gene
11746,0.1482971083567444,0.7408678670986536,0.8840173038699871,3.035063139753677,centrality_only,A2ML1
6322,0.7977783825147129,0.8497839086192507,0.97977317900152,8.420450936559067,centrality_only,AAR2
9990,0.7261109242528484,0.7865541101722998,0.9704197357652286,7.201181901849028,centrality_only,AASDH
9643,0.3428900034464047,0.8183062935193365,0.9278615690401029,5.002275045749027,centrality_only,ABCA10
4303,0.6822808658198023,0.8675155124133785,0.97977317900152,9.338727472944313,centrality_only,ABCC5
121,0.32582693580025573,0.8434424409013971,0.913129895942944,4.5936069572012315,centrality_only,ABCC8
4703,0.7830105699278467,0.8347749203381946,0.9817607856892319,9.156390509075218,centrality_only,ABCD3
11145,0.6541980096080238,0.8218511298271299,0.9819946217701392,9.809312684597584,centrality_only,ABCE1
10475,0.8002254902821707,0.883648825133541,0.9788378346778908,8.689242734792538,centrality_only,ABCF3
7527,0.11803996977556376,0.7928134719109522,0.6788261428738455,1.9213740839172662,centrality_only,ABCG5
8413,0.1777119264897741,0.8044711497492333,0.9334736349818777,3.7147598670237834,centrality_only,ABCG8
11103,0.6324643199958501,0.8462791887349546,0.9779024903542617,8.015736171951994,centrality_only,ABHD18
11518,0.734156626042762,0.7837763193383838,0.9781363264351689,8.104202051309345,centrality_only,ABRAXAS2
3853,0.7158991845439088,0.8563704969389955,0.9776686542733544,7.982586640189938,centrality_only,ACAD10
14056,0.8358122080644289,0.8649622871004649,0.9822284578510464,8.769701132255312,centrality_only,ACAD9
1202,0.36236299129958605,0.8352586838680762,0.968665965158424,5.247824857266454,centrality_only,ACAP1
14709,0.7030516093589918,0.8566947351123096,0.9347597334268678,6.095806281036708,centrality_only,ACBD4
9516,0.20072566205147035,0.7857874437862423,0.7008067344791301,2.155513940701551,centrality_only,ACMSD
15170,0.18293949394716608,0.8228614053881167,0.8405237928212324,3.3336096381382903,centrality_only,ACSM2A
984,0.2399389140340215,0.8307056119619801,0.8687010405705601,3.6476686010440997,centrality_only,ACSM2B
16200,0.03523665977748479,0.6381779868050927,0.35788612182859814,0.7441925998739258,centrality_only,ACTBP11
19738,0.04054673783404692,0.7222432322776628,0.40488717409096225,0.9373547627774509,centrality_only,ACTBP2
38253,0.03739119069526578,0.6819131398533467,0.2693791652051912,0.5616827723325714,centrality_only,ACTBP9
