label,kind,n_classes,before_roc_auc,before_std,after_roc_auc,after_std,delta,before_folds_scored,after_folds_scored
tissue,scientific,28,0.8536423122204049,0.0145437661633691,0.8576886270827924,0.0177121279934536,0.00404631486238749,2,2
disease_category,scientific,5,0.788481629579388,0.0492488925464165,0.7757513290543668,0.0549661563218235,-0.012730300525021221,5,5
cvd_subtype,scientific,7,0.8494287474587126,0.0282369094709901,0.8500580964124562,0.0179160993484671,0.0006293489537436692,5,5
platform,technical_control,12,0.7071012168277078,0.0557840487461063,0.7054363294099484,0.0464232935010848,-0.0016648874177593864,5,5
instrument,technical_control,12,0.7053808950976952,0.0554364146525481,0.7016464338887377,0.0451537737319372,-0.0037344612089574847,5,5
