population,feature_set,estimator,n,dim,n_series,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,pca_components
full_contaminated,BulkFormer-93M,linear,31032,515,1654,0.8005927256208446,0.20945488406386042,0.6725300521278512,0.24974343983765,
full_contaminated,LLM-latent-imgtok,linear_pca_matched,31032,4096,1654,0.7704517896586165,0.23281282408327317,0.6459241126158759,0.23782136642830753,515.0
full_contaminated,LLM-latent-imgtok,linear,31032,4096,1654,0.7478302038787872,0.2327878116258272,0.6244303421896976,0.26248380863348614,
full_contaminated,LLM-latent-imgtok,mlp,31032,4096,1654,0.7150588008071226,0.21843562036178005,0.6171909351099991,0.22628212577777426,
holdout_clean,LLM-latent-imgtok,mlp,2607,4096,92,0.682273868140701,0.07702294960044996,0.6720795354485144,0.09538700458023014,
holdout_clean,BulkFormer-93M,linear,2607,515,92,0.6680078706645071,0.07855782191628492,0.6315940875207219,0.09520671073531706,
holdout_clean,LLM-latent-imgtok,linear,2607,4096,92,0.6663893066028955,0.07951797969517307,0.6423922923682922,0.09324022869655967,
holdout_clean,LLM-latent-imgtok,linear_pca_matched,2607,4096,92,0.662527445331265,0.07601371271795965,0.6378709285336164,0.08543287236760465,515.0
