gene,n_items,pct_of_items
PTN,6,0.02
OTOL1,6,0.02
CPNE9,6,0.02
IDH2,6,0.02
SEMG1,6,0.02
PCDHGC3,6,0.02
PPP1CB,6,0.02
FZD10,6,0.02
GABRB2,6,0.02
ASS1,6,0.02
OR1B1,6,0.02
PKP2,6,0.02
DMRT1,6,0.02
LAMP5,6,0.02
ITIH2,6,0.02
GET3,6,0.02
IL25,6,0.02
NELL1,6,0.02
DHX16,6,0.02
UGT2A3,6,0.02
CTAGE8,6,0.02
ACTN3,6,0.02
FKBP5,6,0.02
TMEM107,6,0.02
PRCC,6,0.02
SETSIP,6,0.02
CATIP,6,0.02
CALN1,6,0.02
CNTN6,6,0.02
FBXW10,6,0.02
KIF16B,6,0.02
CKB,6,0.02
SPDYE21,6,0.02
ZNF585B,6,0.02
ARPP21,6,0.02
EVX1,6,0.02
HOXD11,6,0.02
NFATC2,6,0.02
THEGL,6,0.02
FCGBP,6,0.02
FKBP6,6,0.02
B4GALT2,6,0.02
SST,6,0.02
ATP6V0D2,6,0.02
SMIM44,6,0.02
PAQR9,6,0.02
CNGA3,6,0.02
HPSE2,6,0.02
FAM222B,6,0.02
BMP8B,6,0.02
ERVFRD-1,6,0.02
ATP2B3,6,0.02
SLC39A12,6,0.02
SELENON,6,0.02
LYPD2,6,0.02
FREM3,6,0.02
NR4A2,6,0.02
TMEM191B,6,0.02
XAGE1A,6,0.02
CACNA1B,6,0.02
KIAA1522,6,0.02
PPP1R13L,6,0.02
GCM2,6,0.02
OTOP2,6,0.02
MYBPHL,6,0.02
MUSTN1,6,0.02
CNRIP1,6,0.02
SLC7A4,6,0.02
RAVER1,6,0.02
PRR30,6,0.02
FAM236A,6,0.02
MMP28,6,0.02
SCYGR10,6,0.02
FMN2,6,0.02
GTF3C1,6,0.02
N4BP2,6,0.02
AMPD1,6,0.02
SHISAL1,6,0.02
GLDN,6,0.02
RNF44,6,0.02
FLOT1,6,0.02
SMR3B,6,0.02
LENG1,6,0.02
MCOLN1,6,0.02
SGCD,6,0.02
NQO1,6,0.02
ZG16,6,0.02
LRP1B,6,0.02
SRRD,6,0.02
KRT75,6,0.02
SERF1A,6,0.02
CD93,6,0.02
PPARGC1A,6,0.02
CYP2C19,6,0.02
OR9G1,6,0.02
CHL1,6,0.02
ZNF492,6,0.02
PADI2,6,0.02
ELMOD1,6,0.02
RRP1,6,0.02
ALB,6,0.02
ST20-MTHFS,6,0.02
MUC16,6,0.02
ADAM7,6,0.02
CHEK2,6,0.02
FOLH1,6,0.02
CFTR,6,0.02
MSLN,6,0.02
ELMO3,6,0.02
LCN15,6,0.02
PDYN,6,0.02
CNTD1,6,0.02
TSPY4,6,0.02
KPNA7,6,0.02
MET,6,0.02
NDUFA6,6,0.02
HLA-DOA,6,0.02
UGT3A1,6,0.02
SRARP,6,0.02
APOD,6,0.02
RAET1L,6,0.02
SLC24A3,6,0.02
TFEC,6,0.02
METRN,6,0.02
AMIGO2,6,0.02
BMPER,6,0.02
GPR22,6,0.02
SULT1A4,6,0.02
UGT1A7,6,0.02
DCAF4L2,6,0.02
ANO1,6,0.02
GAGE1,6,0.02
PYGO1,6,0.02
PET117,6,0.02
RSC1A1,6,0.02
F8A3,6,0.02
UBE2T,6,0.02
CDCA7L,6,0.02
XIRP2,6,0.02
BLACAT1,6,0.02
PBK,6,0.02
NLRP2,6,0.02
GPR50,6,0.02
NOL3,6,0.02
PIP4K2B,6,0.02
ZIC5,6,0.02
DISP2,6,0.02
TRIM26,6,0.02
CHRNB2,6,0.02
FRK,6,0.02
LRRK1,6,0.02
GET1-SH3BGR,6,0.02
C1QL2,6,0.02
S1PR4,6,0.02
FAM90A23,6,0.02
ALPG,6,0.02
DUOXA2,6,0.02
INSL6,6,0.02
KRT34,6,0.02
IGLL1,6,0.02
SNRPN,6,0.02
BTN3A2,6,0.02
MT4,6,0.02
BANK1,6,0.02
SCD5,6,0.02
FOXF2,6,0.02
GOLGA8M,6,0.02
OR1E1,6,0.02
MMP12,6,0.02
PON1,6,0.02
TREX1,6,0.02
CRHR2,6,0.02
HMMR,6,0.02
CXCR4,6,0.02
HNRNPD,6,0.02
MAGEA4,6,0.02
KISS1R,6,0.02
SETD1B,6,0.02
PROK1,6,0.02
AADACL3,6,0.02
TRIM27,6,0.02
MROH2A,5,0.02
SHH,5,0.02
DMRTA2,5,0.02
SI,5,0.02
CD5L,5,0.02
NAP1L4,5,0.02
HTD2,5,0.02
PADI1,5,0.02
LRRC41,5,0.02
PRRT1B,5,0.02
CARTPT,5,0.02
VWA1,5,0.02
SLC5A10,5,0.02
LHX8,5,0.02
CELA1,5,0.02
OR5P2,5,0.02
LEFTY1,5,0.02
NKX3-2,5,0.02
TMEM269,5,0.02
MARVELD3,5,0.02
CYP27A1,5,0.02
RTN2,5,0.02
OLAH,5,0.02
UPK3BL1,5,0.02
PRY,5,0.02
HSPA9,5,0.02
CLEC4E,5,0.02
ASIC5,5,0.02
PRAMEF27,5,0.02
NR5A2,5,0.02
ITGB6,5,0.02
WT1,5,0.02
TBR1,5,0.02
ATF1,5,0.02
PXDN,5,0.02
EFCAB3,5,0.02
MROH7-TTC4,5,0.02
KSR2,5,0.02
CNR1,5,0.02
FOXD4L4,5,0.02
MMP10,5,0.02
HOXA13,5,0.02
POPDC2,5,0.02
FOXQ1,5,0.02
MYL3,5,0.02
TMPRSS11E,5,0.02
KRTAP9-2,5,0.02
RNF139,5,0.02
H4C8,5,0.02
GNLY,5,0.02
CHRNG,5,0.02
H1-0,5,0.02
NWD1,5,0.02
BHLHA15,5,0.02
USP17L20,5,0.02
KRTAP19-1,5,0.02
ABCC11,5,0.02
OTUD5,5,0.02
FPGS,5,0.02
GABRP,5,0.02
POLR2J3,5,0.02
TBXAS1,5,0.02
RABGGTB,5,0.02
HLA-DQB2,5,0.02
OR10A6,5,0.02
BLK,5,0.02
ABCC3,5,0.02
INHBB,5,0.02
PTPRG,5,0.02
OR2J3,5,0.02
FKBP2,5,0.02
AQP7,5,0.02
PENK,5,0.02
ASPH,5,0.02
TNFSF11,5,0.02
H3-5,5,0.02
COG5,5,0.02
ACVR1C,5,0.02
ANP32E,5,0.02
AP1G2,5,0.02
PSTPIP1,5,0.02
KRT84,5,0.02
CAPN8,5,0.02
ASIC4,5,0.02
ALPP,5,0.02
HIRA,5,0.02
HEPN1,5,0.02
RHOC,5,0.02
CLIC5,5,0.02
GRB10,5,0.02
HCN1,5,0.02
GOLT1A,5,0.02
SAG,5,0.02
EDN2,5,0.02
TGFB1,5,0.02
KRTAP7-1,5,0.02
NKX1-2,5,0.02
ATOH1,5,0.02
GBP2,5,0.02
C20ORF85,5,0.02
SLC28A2,5,0.02
HOGA1,5,0.02
KIR3DL3,5,0.02
PDGFB,5,0.02
COL1A2,5,0.02
GABRD,5,0.02
KLF13,5,0.02
ABHD14A-ACY1,5,0.02
TRABD2A,5,0.02
OR6K2,5,0.02
KLHDC3,5,0.02
ADAM33,5,0.02
RRP9,5,0.02
TPRG1,5,0.02
RHCG,5,0.02
GPRC5B,5,0.02
PCSK2,5,0.02
FLNB,5,0.02
ENOPH1,5,0.02
ARL5B,5,0.02
VPS13D,5,0.02
SCG5,5,0.02
POTEH,5,0.02
CCL19,5,0.02
OR4C3,5,0.02
APOA4,5,0.02
UBE2NL,5,0.02
ZNF280A,5,0.02
PSAT1,5,0.02
CRYBA2,5,0.02
GTPBP8,5,0.02
TRERF1,5,0.02
GSK3B,5,0.02
GPX7,5,0.02
RASSF10,5,0.02
MYG1,5,0.02
PITPNM3,5,0.02
PLSCR5,5,0.02
PGLYRP2,5,0.02
MAGEA10,5,0.02
SFTPC,5,0.02
KY,5,0.02
IGSF3,5,0.02
FOXE1,5,0.02
ZNF286A-TBC1D26,5,0.02
PPP1R36,5,0.02
ABCB4,5,0.02
FRY,5,0.02
HLA-DOB,5,0.02
C11ORF87,5,0.02
RGCC,5,0.02
ATP2A2,5,0.02
SH3GL2,5,0.02
SLC16A2,5,0.02
PUF60,5,0.02
ARHGEF6,5,0.02
UPK3A,5,0.02
OIT3,5,0.02
AGBL1,5,0.02
SERPINB7,5,0.02
RNASEH2A,5,0.02
AKR7A2,5,0.02
SHD,5,0.02
GP1BB,5,0.02
KCNJ6,5,0.02
LGI1,5,0.02
SENP3-EIF4A1,5,0.02
GRM1,5,0.02
ZNF441,5,0.02
BTBD9,5,0.02
RSPO1,5,0.02
BBC3,5,0.02
FSCN1,5,0.02
FLG2,5,0.02
SEPTIN6,5,0.02
EMC7,5,0.02
NPIPA2,5,0.02
METRNL,5,0.02
NDUFAF8,5,0.02
H2BC14,5,0.02
MAPK13,5,0.02
SMPDL3A,5,0.02
ARL2,5,0.02
TSNARE1,5,0.02
PMEPA1,5,0.02
FCN3,5,0.02
RIMS4,5,0.02
FOXS1,5,0.02
RTEL1-TNFRSF6B,5,0.02
ABR,5,0.02
CT47A4,5,0.02
PMP22,5,0.02
MAP1S,5,0.02
KLHDC7A,5,0.02
PLA2G10,5,0.02
USP17L18,5,0.02
NEB,5,0.02
ATP2A1,5,0.02
IL18,5,0.02
INMT,5,0.02
SCTR,5,0.02
SNX15,5,0.02
GPAT3,5,0.02
RBBP8NL,5,0.02
MS4A18,5,0.02
NFILZ,5,0.02
BOK,5,0.02
GFPT2,5,0.02
BDKRB2,5,0.02
ZNF358,5,0.02
SLC1A2,5,0.02
ANKK1,5,0.02
GKN2,5,0.02
ALDOB,5,0.02
SIK1,4,0.01
CT45A6,4,0.01
RAB7B,4,0.01
HMGCS2,4,0.01
PMCH,4,0.01
ZIM2,4,0.01
BARX1,4,0.01
SEMG2,4,0.01
OMA1,4,0.01
SCNN1B,4,0.01
RORB,4,0.01
EGFL6,4,0.01
OR5M1,4,0.01
OGFR,4,0.01
RIPPLY3,4,0.01
GIMAP1-GIMAP5,4,0.01
OR14A2,4,0.01
UBQLN3,4,0.01
NID2,4,0.01
KIR2DL1,4,0.01
ABHD16B,4,0.01
ATP5MC3,4,0.01
AFP,4,0.01
GPR37L1,4,0.01
LYNX1,4,0.01
TNFSF12-TNFSF13,4,0.01
RIIAD1,4,0.01
GALNT4,4,0.01
EVA1B,4,0.01
CYP2A6,4,0.01
DAPL1,4,0.01
HEXB,4,0.01
DHRS9,4,0.01
PSG8,4,0.01
SPTBN2,4,0.01
SORCS1,4,0.01
OR4F5,4,0.01
PGAP4,4,0.01
BLID,4,0.01
PAGE3,4,0.01
TNRC18,4,0.01
CNTN5,4,0.01
NEUROG3,4,0.01
KCNG2,4,0.01
TREM2,4,0.01
INTS1,4,0.01
GAGE12F,4,0.01
ZBTB7C,4,0.01
RXRB,4,0.01
SPRR2A,4,0.01
ZNF559,4,0.01
MOV10L1,4,0.01
KRTAP21-3,4,0.01
SLC24A4,4,0.01
DDI1,4,0.01
NEO1,4,0.01
PRKG1,4,0.01
APOH,4,0.01
HPCAL4,4,0.01
CHRNA6,4,0.01
MAST4,4,0.01
FBXL7,4,0.01
C15ORF48,4,0.01
OASL,4,0.01
OLFML2A,4,0.01
CDH16,4,0.01
SF3B4,4,0.01
A3GALT2,4,0.01
CDC42EP2,4,0.01
PFKP,4,0.01
GRIN2C,4,0.01
LRRTM3,4,0.01
DIO3,4,0.01
DEFB105B,4,0.01
SPDYE6,4,0.01
DNAAF3,4,0.01
PLPPR1,4,0.01
OR4M2,4,0.01
AMACR,4,0.01
PCDH9,4,0.01
TNXB,4,0.01
CYYR1,4,0.01
XAGE1B,4,0.01
RNF187,4,0.01
MEOX1,4,0.01
NBPF9,4,0.01
SRMS,4,0.01
PIP4K2C,4,0.01
MICA,4,0.01
FBP1,4,0.01
OR2T7,4,0.01
OPCML,4,0.01
EPGN,4,0.01
SYNPO,4,0.01
NPIPA3,4,0.01
SNX13,4,0.01
PARP1,4,0.01
OR2AP1,4,0.01
PRSS1,4,0.01
ZSWIM2,4,0.01
BPY2,4,0.01
BPY2B,4,0.01
BPY2C,4,0.01
CLDN14,4,0.01
NXF3,4,0.01
SLC30A9,4,0.01
FRMD1,4,0.01
SEMA6D,4,0.01
DERPC,4,0.01
SMARCA5,4,0.01
EVI2A,4,0.01
DAB1,4,0.01
ZSWIM7,4,0.01
SCRG1,4,0.01
CDY1,4,0.01
TAF11L5,4,0.01
SLC25A31,4,0.01
MUCL3,4,0.01
KCNIP3,4,0.01
SFTPD,4,0.01
ANKS1B,4,0.01
G6PC2,4,0.01
GABBR2,4,0.01
LGALS7,4,0.01
ANGPTL8,4,0.01
ADAM32,4,0.01
ARX,4,0.01
UBE2G1,4,0.01
OR52E8,4,0.01
OBSL1,4,0.01
ZNF787,4,0.01
MRPL23,4,0.01
MYOD1,4,0.01
PCDHGA8,4,0.01
ANKRD23,4,0.01
MAD1L1,4,0.01
NSF,4,0.01
SPC24,4,0.01
IFIT1B,4,0.01
LMX1A,4,0.01
GNG13,4,0.01
INSRR,4,0.01
OR2T27,4,0.01
PAX6,4,0.01
PDCD1,4,0.01
TFF2,4,0.01
CT45A1,4,0.01
TGIF2,4,0.01
RGS7BP,4,0.01
PRDM9,4,0.01
PTGER3,4,0.01
RPL7L1,4,0.01
GOLGA6L24P,4,0.01
RAB3IP,4,0.01
GRAP2,4,0.01
ZSCAN18,4,0.01
SH3BP4,4,0.01
CPHXL,4,0.01
KCNH1,4,0.01
FTL,4,0.01
PPL,4,0.01
LMBR1,4,0.01
CDIP1,4,0.01
CPE,4,0.01
ATP13A3,4,0.01
PPP1R14A,4,0.01
CDY1B,4,0.01
NPW,4,0.01
GZMK,4,0.01
GAL,4,0.01
NPHS2,4,0.01
ADRB2,4,0.01
MYH10,4,0.01
TMEM9,4,0.01
ICAM5,4,0.01
DAZ4,4,0.01
AGAP1,4,0.01
SCP2D1,4,0.01
TFF3,4,0.01
FAHD2B,4,0.01
UPP1,4,0.01
MMP2,4,0.01
ACTL7B,4,0.01
BIRC3,4,0.01
SSUH2,4,0.01
GPX4,4,0.01
ZNF722,4,0.01
WNT7B,4,0.01
EXPH5,4,0.01
CACNA2D4,4,0.01
LIPM,4,0.01
JPH4,4,0.01
TNF,4,0.01
ADRA1D,4,0.01
LCTL,4,0.01
POLR1H,4,0.01
MYLPF,4,0.01
CDC20,4,0.01
USP17L24,4,0.01
AQP4,4,0.01
MDH1,4,0.01
RPAP2,4,0.01
SLURP2,4,0.01
RBMY1E,4,0.01
CT47A3,4,0.01
CT47A5,4,0.01
CT47A8,4,0.01
BAG2,4,0.01
CCDC187,4,0.01
TECRL,4,0.01
TCF21,4,0.01
SDF4,4,0.01
LGR6,4,0.01
PKNOX2,4,0.01
IGBP1P2,4,0.01
LRATD2,4,0.01
OXA1L,4,0.01
FUS,4,0.01
MARCKSL1,4,0.01
STAC2,4,0.01
EHBP1L1,4,0.01
ASIC2,4,0.01
MUC17,4,0.01
MUC5B,4,0.01
HCAR2,4,0.01
CCDC63,4,0.01
PLPP3,4,0.01
HPS4,4,0.01
ETV2,4,0.01
EIF4EBP3,4,0.01
CDKN1B,4,0.01
EGFLAM,4,0.01
FFAR4,4,0.01
IL21R,4,0.01
PPIAL4C,4,0.01
GTSF1,4,0.01
MEI1,4,0.01
STRIP2,4,0.01
ACOT2,4,0.01
GABRA5,4,0.01
MT-ATP8,4,0.01
GPHA2,4,0.01
FBLN7,4,0.01
STEAP4,4,0.01
SCYGR2,4,0.01
DUOX2,4,0.01
B4GALNT2,4,0.01
VCX3A,4,0.01
TMOD1,4,0.01
FOXL2,4,0.01
KRT38,4,0.01
PGGHG,4,0.01
AEBP1,4,0.01
BRD3OS,4,0.01
CT47A9,4,0.01
PEX14,4,0.01
SEPTIN5,4,0.01
STAB2,4,0.01
CHAC1,4,0.01
ZBED6,4,0.01
PSD3,4,0.01
EHMT2,4,0.01
SLCO6A1,4,0.01
ZAP70,4,0.01
NODAL,4,0.01
CPLX2,4,0.01
KIAA1217,4,0.01
NDUFB7,4,0.01
CAPN6,4,0.01
RASGRF2,4,0.01
SOX8,4,0.01
ID2,3,0.01
MZT2B,3,0.01
PHOX2A,3,0.01
DNAJB13,3,0.01
HADH,3,0.01
ADAMTS16,3,0.01
CEACAM4,3,0.01
PTGR1,3,0.01
FAM90A8,3,0.01
TTLL13,3,0.01
CHAC2,3,0.01
CXORF66,3,0.01
VSTM2A,3,0.01
C16ORF95,3,0.01
DEFB115,3,0.01
SULT1E1,3,0.01
OR13D1,3,0.01
MORC1,3,0.01
NPIPB9,3,0.01
LRRC32,3,0.01
THUMPD3,3,0.01
STARD7,3,0.01
HIKESHI,3,0.01
C9ORF153,3,0.01
DMBT1,3,0.01
OR11H6,3,0.01
CALML3,3,0.01
THEM6,3,0.01
OR2J2,3,0.01
LOX,3,0.01
HIP1,3,0.01
EIF4A2,3,0.01
RESP18,3,0.01
RPL10L,3,0.01
NOSTRIN,3,0.01
MGAT4C,3,0.01
HSPA6,3,0.01
TJP1,3,0.01
LAD1,3,0.01
CES2,3,0.01
F2RL3,3,0.01
SLC25A48,3,0.01
OSBP2,3,0.01
INKA2,3,0.01
KCNJ8,3,0.01
HTN1,3,0.01
PPP1R12C,3,0.01
GNG8,3,0.01
KRT23,3,0.01
NPY,3,0.01
DNMT3A,3,0.01
ZNF117,3,0.01
ACSM3,3,0.01
PRLR,3,0.01
PSMB5,3,0.01
POU5F1,3,0.01
RGL4,3,0.01
NIPSNAP1,3,0.01
TAF1L,3,0.01
JAG1,3,0.01
C17ORF114,3,0.01
KRTAP2-3,3,0.01
FITM1,3,0.01
LRIG3,3,0.01
HHLA1,3,0.01
ACSL6,3,0.01
C8ORF88,3,0.01
CNN1,3,0.01
ATP6V1B1,3,0.01
TBX21,3,0.01
SNX20,3,0.01
SMIM40,3,0.01
DUSP13,3,0.01
KIAA1191,3,0.01
MALRD1,3,0.01
CLCN6,3,0.01
PAPPA2,3,0.01
CMPK2,3,0.01
LRIG1,3,0.01
CTNNA1,3,0.01
MS4A14,3,0.01
UBE2F-SCLY,3,0.01
OR1L3,3,0.01
PAX9,3,0.01
C8ORF44-SGK3,3,0.01
ZNF705G,3,0.01
AXDND1,3,0.01
AFM,3,0.01
ADAM18,3,0.01
SCUBE2,3,0.01
OTOP1,3,0.01
ITFG1,3,0.01
PSMD14,3,0.01
SNX22,3,0.01
SLFN12,3,0.01
SLC7A5,3,0.01
FABP12,3,0.01
LYPD5,3,0.01
TCN1,3,0.01
FRMPD2,3,0.01
TRIM4,3,0.01
RAB35,3,0.01
FABP2,3,0.01
MT-ATP6,3,0.01
MT-CYB,3,0.01
CSRP3,3,0.01
ZCCHC12,3,0.01
PCDHB10,3,0.01
JMY,3,0.01
MBTPS2,3,0.01
C1ORF94,3,0.01
HEATR9,3,0.01
XPNPEP2,3,0.01
PAQR5,3,0.01
YRDC,3,0.01
OR10G7,3,0.01
LIMCH1,3,0.01
PLAAT5,3,0.01
FAM237A,3,0.01
KERA,3,0.01
CSMD3,3,0.01
TAF11L10,3,0.01
DYDC1,3,0.01
INSC,3,0.01
TEX29,3,0.01
FAM163B,3,0.01
PCGF2,3,0.01
AK5,3,0.01
TAAR8,3,0.01
OR52M1,3,0.01
PPDPFL,3,0.01
CPLX1,3,0.01
GJC2,3,0.01
SCGB2B2,3,0.01
FHAD1,3,0.01
PRPH,3,0.01
PGR,3,0.01
CDRT15L2,3,0.01
APOBEC3A,3,0.01
ATP6V0E2,3,0.01
LIX1,3,0.01
FAM90A5P,3,0.01
S100A7,3,0.01
SLA2,3,0.01
NEURL1,3,0.01
PTPRR,3,0.01
PRAMEF7,3,0.01
ONECUT3,3,0.01
PRR12,3,0.01
IGFL2,3,0.01
ACACA,3,0.01
CRMP1,3,0.01
GOLGA8J,3,0.01
AKAP4,3,0.01
ATP5MK,3,0.01
TRIM10,3,0.01
FAM156B,3,0.01
SYT10,3,0.01
WEE2,3,0.01
IQSEC3,3,0.01
NOS2,3,0.01
FSHR,3,0.01
HTRA1,3,0.01
SLC13A5,3,0.01
ATP5F1D,3,0.01
TCHHL1,3,0.01
RNASE7,3,0.01
TMEM47,3,0.01
SLC49A3,3,0.01
INAFM1,3,0.01
PRRG2,3,0.01
HS3ST1,3,0.01
DUSP2,3,0.01
EGR2,3,0.01
POLE4,3,0.01
LGSN,3,0.01
TPT1,3,0.01
NPAS4,3,0.01
KRT1,3,0.01
USP17L29,3,0.01
GRID2,3,0.01
OR52D1,3,0.01
TNNC1,3,0.01
FAM246B,3,0.01
LGR4,3,0.01
ISG15,3,0.01
HS6ST3,3,0.01
ADAMTS5,3,0.01
UGT2B15,3,0.01
ZNF737,3,0.01
HBZ,3,0.01
PNPO,3,0.01
OR51T1,3,0.01
ABO,3,0.01
KCTD12,3,0.01
CD274,3,0.01
ITGA5,3,0.01
TNMD,3,0.01
COL24A1,3,0.01
SLC8A2,3,0.01
SLC5A7,3,0.01
PMEL,3,0.01
ATP6V1G2,3,0.01
GLYATL1B,3,0.01
SLC6A20,3,0.01
ZACN,3,0.01
ART5,3,0.01
LMCD1,3,0.01
KCNA1,3,0.01
IL12A,3,0.01
ACOD1,3,0.01
RGPD6,3,0.01
QARS1,3,0.01
ANGPT4,3,0.01
GTF2A1L,3,0.01
PAX5,3,0.01
CACNA1F,3,0.01
DPEP1,3,0.01
CCL17,3,0.01
KNSTRN,3,0.01
ELFN1,3,0.01
SMTNL1,3,0.01
DRD1,3,0.01
PARN,3,0.01
IDO1,3,0.01
ASCL1,3,0.01
PKP1,3,0.01
CDC42BPB,3,0.01
SERTAD1,3,0.01
SPINK6,3,0.01
ANKRD33,3,0.01
C2ORF81,3,0.01
SSU72P2,3,0.01
ZNF541,3,0.01
LIPH,3,0.01
TASL,3,0.01
GRAMD2B,3,0.01
RPUSD3,3,0.01
UGT2B10,3,0.01
NEU4,3,0.01
ANHX,3,0.01
WNT10B,3,0.01
GLYATL3,3,0.01
IL22RA1,3,0.01
PPIE,3,0.01
TMEM190,3,0.01
ZFP91-CNTF,3,0.01
INAFM2,3,0.01
ATP13A4,3,0.01
PON3,3,0.01
GDE1,3,0.01
ART4,3,0.01
PARVA,3,0.01
AURKB,3,0.01
OR6X1,3,0.01
ENTPD3,3,0.01
PRTN3,3,0.01
NOD2,3,0.01
C10ORF90,3,0.01
NR4A3,3,0.01
OR4N4C,3,0.01
MYPOP,3,0.01
SULT6B1,3,0.01
TMEM88,3,0.01
SCIN,3,0.01
TNFRSF10A,3,0.01
TRPC6,3,0.01
GSC,3,0.01
LRRC63,3,0.01
SEMA6B,3,0.01
OR8H2,3,0.01
STAT4,3,0.01
TPH1,3,0.01
PLOD2,3,0.01
ELP1,3,0.01
THEMIS,3,0.01
LDHB,3,0.01
LCE3B,3,0.01
ZNF208,3,0.01
KIR2DS4,3,0.01
NECAP2,3,0.01
ACTL8,3,0.01
LHX6,3,0.01
ZNF285,3,0.01
TAS2R16,3,0.01
TVP23C-CDRT4,3,0.01
OR2T12,3,0.01
FSCN3,3,0.01
SLITRK2,3,0.01
SAA2-SAA4,3,0.01
C16ORF92,3,0.01
IGSF23,3,0.01
MST1R,3,0.01
CNMD,3,0.01
SOX12,3,0.01
CACNA1S,3,0.01
PHPT1,3,0.01
CCL13,3,0.01
LYPLA2,3,0.01
FGF4,3,0.01
SP110,3,0.01
GLRB,3,0.01
STING1,3,0.01
LGALS14,3,0.01
HTR1F,3,0.01
FAM90A14,3,0.01
OPHN1,3,0.01
PET100,3,0.01
FGF16,3,0.01
KCNH5,3,0.01
CDK2AP2,3,0.01
MRPS12,3,0.01
EIF2S3B,3,0.01
ZEB1,3,0.01
VGF,3,0.01
UNC13A,3,0.01
RPS6KL1,3,0.01
PLXNA1,3,0.01
KCNB1,3,0.01
ZNF835,3,0.01
MYEOV,3,0.01
CT47A10,3,0.01
CT47A2,3,0.01
TKTL2,3,0.01
LRRN4CL,3,0.01
RAB3D,3,0.01
KNCN,3,0.01
SMIM39,3,0.01
PCCB,3,0.01
KRT24,3,0.01
TEX101,3,0.01
OR8G3P,3,0.01
SCYGR1,3,0.01
AMOTL1,3,0.01
SMCP,3,0.01
KLK2,3,0.01
RRP1B,3,0.01
SLC35B2,3,0.01
OR13C4,3,0.01
C14ORF180,3,0.01
IL9R,3,0.01
COL4A5,3,0.01
IL1R2,3,0.01
NYAP2,3,0.01
KCNE4,3,0.01
PJA2,3,0.01
OR2A7,3,0.01
PRR35,3,0.01
PYCR1,3,0.01
CEACAM6,3,0.01
OR2T2,3,0.01
PTGFR,3,0.01
MYO7B,3,0.01
PEBP4,3,0.01
RBMY1F,3,0.01
OVCA2,3,0.01
GOLGB1,3,0.01
RHOB,3,0.01
WDR61,3,0.01
OR13G1,3,0.01
RBM14-RBM4,3,0.01
BCAS1,3,0.01
GSTT2,3,0.01
CYSLTR2,3,0.01
IRF6,3,0.01
USP17L27,3,0.01
UTF1,3,0.01
DNMT3L,3,0.01
CALB1,2,0.01
STXBP5L,2,0.01
IFNL3,2,0.01
SLC4A3,2,0.01
MCM2,2,0.01
DCUN1D2,2,0.01
CHODL,2,0.01
DYNLT2B,2,0.01
FAM43A,2,0.01
NNT,2,0.01
SUGP1,2,0.01
SCN4A,2,0.01
TMEM215,2,0.01
HLTF,2,0.01
ENPP5,2,0.01
GPR150,2,0.01
SCARF1,2,0.01
CCDC9B,2,0.01
FAM90A24P,2,0.01
FAM72C,2,0.01
SNX12,2,0.01
CSKMT,2,0.01
R3HCC1,2,0.01
SLC22A11,2,0.01
CUL1,2,0.01
OR6B3,2,0.01
IGFL4,2,0.01
KANK2,2,0.01
MACROD2,2,0.01
SLC7A10,2,0.01
PELI2,2,0.01
CLRN1,2,0.01
KRT9,2,0.01
RPS12,2,0.01
SEMA3G,2,0.01
VAMP7,2,0.01
SPINT4,2,0.01
FATE1,2,0.01
NBL1,2,0.01
XKR9,2,0.01
VWDE,2,0.01
CHRNA10,2,0.01
PLAU,2,0.01
SLC12A8,2,0.01
CDX4,2,0.01
C11ORF97,2,0.01
ST3GAL6,2,0.01
NCK2,2,0.01
CCDC190,2,0.01
NKX2-1,2,0.01
H4C5,2,0.01
UBA7,2,0.01
CYBRD1,2,0.01
HPGD,2,0.01
DNAH11,2,0.01
SLC30A2,2,0.01
GLUL,2,0.01
TMEM235,2,0.01
ARHGAP36,2,0.01
S100A16,2,0.01
GJD3,2,0.01
PREX1,2,0.01
FOLR2,2,0.01
NXN,2,0.01
GFI1,2,0.01
SORT1,2,0.01
MSX1,2,0.01
CNGA1,2,0.01
PHLDA1,2,0.01
GHRHR,2,0.01
HRNR,2,0.01
TMEM60,2,0.01
PLK1,2,0.01
NDRG4,2,0.01
HTR3E,2,0.01
TMEM35B,2,0.01
PIK3R1,2,0.01
TFCP2L1,2,0.01
NEXN,2,0.01
GRIK4,2,0.01
CACNA2D3,2,0.01
SERPINB10,2,0.01
FBXO25,2,0.01
C3ORF62,2,0.01
TNFSF12,2,0.01
H2AC4,2,0.01
MAGEF1,2,0.01
CRIP1,2,0.01
GAGE12E,2,0.01
OR2AG1,2,0.01
CIDEC,2,0.01
CELSR1,2,0.01
RHEX,2,0.01
ECHS1,2,0.01
ZBTB22,2,0.01
FCHO2,2,0.01
DEFB105A,2,0.01
NTRK2,2,0.01
TRABD2B,2,0.01
HORMAD1,2,0.01
TAPBP,2,0.01
TP53I11,2,0.01
SPEM1,2,0.01
BZW2,2,0.01
GAGE12G,2,0.01
IGFBP4,2,0.01
TBC1D8,2,0.01
C6ORF52,2,0.01
ZNF595,2,0.01
BOLA2B,2,0.01
SLC16A5,2,0.01
SPRR1B,2,0.01
ZNF582,2,0.01
ZNF583,2,0.01
CD300LB,2,0.01
CA1,2,0.01
HEMGN,2,0.01
KYAT1,2,0.01
CDH22,2,0.01
LYNX1-SLURP2,2,0.01
DAPK3,2,0.01
OR4B1,2,0.01
PMF1-BGLAP,2,0.01
