gene,in_variance_set,in_centrality_set,in_kegg_set,n_sources,variance_rank,centrality_rank,ensg_ids,biotype
HSPE1P18,False,True,False,1,,2904.0,ENSG00000255163,PROCESSED_PSEUDOGENE
HTR1DP1,False,True,False,1,,4490.0,ENSG00000275811,PROCESSED_PSEUDOGENE
HULC,False,True,False,1,,666.0,ENSG00000285219,LNCRNA
HYDIN2,True,False,False,1,3399.0,,ENSG00000276975,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
IGHA1,True,False,False,1,1524.0,,"ENSG00000211895,ENSG00000282633",IG_C_GENE
IGHA2,True,False,False,1,4092.0,,"ENSG00000211890,ENSG00000276173",IG_C_GENE
IGHG1,True,False,False,1,1260.0,,"ENSG00000211896,ENSG00000277633",IG_C_GENE
IGHG2,True,False,False,1,2529.0,,"ENSG00000211893,ENSG00000274497",IG_C_GENE
IGHM,True,True,False,2,1657.0,4190.0,"ENSG00000211899,ENSG00000282657",IG_C_GENE
IGKC,True,False,False,1,241.0,,ENSG00000211592,IG_C_GENE
IGLC1,True,False,False,1,4044.0,,ENSG00000211675,IG_C_GENE
IGLC2,True,True,False,2,1135.0,4241.0,ENSG00000211677,IG_C_GENE
IGLC3,True,False,False,1,3888.0,,ENSG00000211679,IG_C_GENE
IL12A-AS1,False,True,False,1,,1592.0,ENSG00000244040,LNCRNA
ILF2P1,False,True,False,1,,2295.0,ENSG00000244226,PROCESSED_PSEUDOGENE
IMPDH1P11,False,True,False,1,,4541.0,ENSG00000261647,PROCESSED_PSEUDOGENE
INE1,False,True,False,1,,4454.0,ENSG00000224975,LNCRNA
INTS6-AS1,False,True,False,1,,718.0,ENSG00000236778,LNCRNA
IPO5P1,False,True,False,1,,3263.0,ENSG00000269837,TRANSCRIBED_PROCESSED_PSEUDOGENE
IQCH-AS1,False,True,False,1,,3456.0,ENSG00000259673,LNCRNA
IRX4-AS1,True,False,False,1,2266.0,,ENSG00000249116,LNCRNA
ITGB1P1,True,False,False,1,232.0,,ENSG00000269378,PROCESSED_PSEUDOGENE
ITPK1-AS1,False,True,False,1,,1546.0,"ENSG00000258730,ENSG00000280802",LNCRNA
ITPK1P1,False,True,False,1,,4703.0,ENSG00000237351,PROCESSED_PSEUDOGENE
JCADP1,False,True,False,1,,3706.0,ENSG00000235012,PROCESSED_PSEUDOGENE
KANSL1L-AS1,False,True,False,1,,199.0,ENSG00000229127,LNCRNA
KAZN-AS1,False,True,False,1,,3208.0,ENSG00000234593,LNCRNA
KCNAB1-AS2,False,True,False,1,,2113.0,ENSG00000240596,LNCRNA
KCND3-AS1,False,True,False,1,,2185.0,ENSG00000237556,LNCRNA
KCNMA1-AS1,False,True,False,1,,1117.0,ENSG00000236467,LNCRNA
KCNMA1-AS2,False,True,False,1,,2704.0,ENSG00000225497,LNCRNA
KCNMA1-AS3,False,True,False,1,,485.0,ENSG00000225652,LNCRNA
KCNMB2-AS1,False,True,False,1,,682.0,ENSG00000237978,LNCRNA
KCNQ1OT1,False,True,False,1,,4594.0,ENSG00000269821,LNCRNA
KCTD9P1,False,True,False,1,,1121.0,ENSG00000225014,TRANSCRIBED_PROCESSED_PSEUDOGENE
KHDC1-AS1,False,True,False,1,,3297.0,ENSG00000229852,LNCRNA
KIF5C-AS1,False,True,False,1,,2679.0,ENSG00000231079,LNCRNA
KIF9-AS1,False,True,False,1,,4075.0,ENSG00000227398,LNCRNA
KLC1-AS1,False,True,False,1,,1934.0,ENSG00000246451,LNCRNA
KNOP1P2,False,True,False,1,,1359.0,ENSG00000270429,PROCESSED_PSEUDOGENE
KRBOX1-AS1,False,True,False,1,,1178.0,ENSG00000206552,LNCRNA
KRR1P1,False,True,False,1,,2920.0,ENSG00000237672,PROCESSED_PSEUDOGENE
KRT18P31,False,True,False,1,,441.0,ENSG00000249850,PROCESSED_PSEUDOGENE
KRT18P57,False,True,False,1,,317.0,ENSG00000215867,PROCESSED_PSEUDOGENE
KTN1-AS1,False,True,False,1,,2794.0,ENSG00000186615,LNCRNA
L3MBTL4-AS1,False,True,False,1,,142.0,ENSG00000264707,LNCRNA
LAMTOR5-AS1,False,True,False,1,,386.0,ENSG00000224699,LNCRNA
LCAL1,False,True,False,1,,3831.0,ENSG00000286042,LNCRNA
LCMT1-AS2,False,True,False,1,,750.0,ENSG00000260034,LNCRNA
LDHAP3,False,True,False,1,,4427.0,ENSG00000236090,PROCESSED_PSEUDOGENE
LDHAP7,False,True,False,1,,4005.0,ENSG00000235847,PROCESSED_PSEUDOGENE
LENG8-AS1,False,True,False,1,,2957.0,"ENSG00000226696,ENSG00000275470",LNCRNA
LGALSL-DT,False,True,False,1,,151.0,ENSG00000223935,LNCRNA
LGMNP1,False,True,False,1,,3814.0,ENSG00000214269,PROCESSED_PSEUDOGENE
LIFR-AS1,False,True,False,1,,3974.0,ENSG00000244968,LNCRNA
LIMD1-AS1,True,False,False,1,3081.0,,ENSG00000230530,LNCRNA
LINC-PINT,False,True,False,1,,4393.0,ENSG00000231721,LNCRNA
LINC00051,False,True,False,1,,4433.0,ENSG00000254008,LNCRNA
LINC00174,False,True,False,1,,332.0,ENSG00000179406,LNCRNA
LINC00235,False,True,False,1,,2801.0,"ENSG00000277142,ENSG00000282485",LNCRNA
LINC00265,False,True,False,1,,4789.0,ENSG00000188185,LNCRNA
LINC00273,True,False,False,1,860.0,,ENSG00000256642,LNCRNA
LINC00276,False,True,False,1,,64.0,ENSG00000230448,LNCRNA
LINC00299,False,True,False,1,,2278.0,ENSG00000236790,LNCRNA
LINC00320,False,True,False,1,,15.0,ENSG00000224924,LNCRNA
LINC00343,False,True,False,1,,2972.0,ENSG00000226620,LNCRNA
LINC00352,False,True,False,1,,4292.0,ENSG00000227893,LNCRNA
LINC00368,False,True,False,1,,3236.0,ENSG00000225870,LNCRNA
LINC00393,False,True,False,1,,784.0,ENSG00000224853,LNCRNA
LINC00404,False,True,False,1,,2049.0,ENSG00000229520,LNCRNA
LINC00410,False,True,False,1,,739.0,ENSG00000231674,LNCRNA
LINC00461,False,True,False,1,,4721.0,ENSG00000245526,LNCRNA
LINC00486,False,True,False,1,,1387.0,ENSG00000230876,LNCRNA
LINC00491,False,True,False,1,,2308.0,ENSG00000250682,LNCRNA
LINC00499,False,True,False,1,,83.0,ENSG00000251372,LNCRNA
LINC00507,False,True,False,1,,293.0,ENSG00000256193,LNCRNA
LINC00528,False,True,False,1,,4861.0,ENSG00000269220,LNCRNA
LINC00534,False,True,False,1,,3651.0,ENSG00000253394,LNCRNA
LINC00547,False,True,False,1,,1676.0,ENSG00000275226,LNCRNA
LINC00558,False,True,False,1,,1834.0,ENSG00000261517,LNCRNA
LINC00575,False,True,False,1,,1264.0,ENSG00000231782,LNCRNA
LINC00607,True,False,False,1,4704.0,,ENSG00000235770,LNCRNA
LINC00608,False,True,False,1,,2587.0,ENSG00000236445,LNCRNA
LINC00621,False,True,False,1,,193.0,ENSG00000262619,LNCRNA
LINC00630,False,True,False,1,,1128.0,ENSG00000223546,LNCRNA
LINC00648,True,True,False,2,3692.0,1073.0,ENSG00000259129,LNCRNA
LINC00652,False,True,False,1,,84.0,ENSG00000179935,LNCRNA
LINC00663,False,True,False,1,,1805.0,ENSG00000266904,LNCRNA
LINC00690,False,True,False,1,,515.0,ENSG00000233570,LNCRNA
LINC00691,False,True,False,1,,3002.0,ENSG00000224074,LNCRNA
LINC00836,False,True,False,1,,233.0,ENSG00000280809,LNCRNA
LINC00861,False,True,False,1,,2654.0,ENSG00000245164,LNCRNA
LINC00871,False,True,False,1,,4031.0,"ENSG00000258700,ENSG00000288232",LNCRNA
LINC00877,False,True,False,1,,3259.0,ENSG00000241163,LNCRNA
LINC00879,False,True,False,1,,1774.0,"ENSG00000239589,ENSG00000285436",LNCRNA
LINC00881,True,True,False,2,293.0,4395.0,ENSG00000241135,LNCRNA
LINC00891,False,True,False,1,,1849.0,ENSG00000281852,LNCRNA
LINC00898,False,True,False,1,,1479.0,ENSG00000205634,LNCRNA
LINC00901,False,True,False,1,,4623.0,ENSG00000242385,LNCRNA
LINC00907,False,True,False,1,,295.0,ENSG00000267586,LNCRNA
LINC00928,False,True,False,1,,925.0,ENSG00000259218,LNCRNA
LINC00937,False,True,False,1,,2363.0,ENSG00000226091,LNCRNA
LINC00939,False,True,False,1,,409.0,ENSG00000249267,LNCRNA
LINC00955,False,True,False,1,,4265.0,ENSG00000216560,LNCRNA
LINC01001,True,False,False,1,2020.0,,ENSG00000230724,LNCRNA
LINC01005,False,True,False,1,,1756.0,ENSG00000228564,LNCRNA
LINC01007,False,True,False,1,,1397.0,ENSG00000233123,LNCRNA
LINC01013,True,False,False,1,4037.0,,ENSG00000228495,LNCRNA
LINC01019,False,True,False,1,,1365.0,ENSG00000248118,LNCRNA
LINC01029,False,True,False,1,,1407.0,ENSG00000265843,LNCRNA
LINC01046,False,True,False,1,,279.0,ENSG00000233405,LNCRNA
LINC01093,False,True,False,1,,4755.0,ENSG00000249173,LNCRNA
LINC01106,True,False,False,1,4885.0,,ENSG00000175772,LNCRNA
LINC01114,False,True,False,1,,1213.0,ENSG00000234177,LNCRNA
LINC01120,False,True,False,1,,3157.0,ENSG00000223631,LNCRNA
LINC01146,False,True,False,1,,4123.0,ENSG00000258867,LNCRNA
LINC01147,False,True,False,1,,4516.0,ENSG00000258826,LNCRNA
LINC01159,False,True,False,1,,677.0,ENSG00000229743,LNCRNA
LINC01160,False,True,False,1,,4267.0,ENSG00000231346,LNCRNA
LINC01176,False,True,False,1,,3191.0,ENSG00000281404,LNCRNA
LINC01192,False,True,False,1,,24.0,ENSG00000241369,LNCRNA
LINC01202,False,True,False,1,,2716.0,ENSG00000280776,LNCRNA
LINC01203,False,True,False,1,,1205.0,ENSG00000226985,LNCRNA
LINC01205,False,True,False,1,,66.0,ENSG00000228980,LNCRNA
LINC01206,False,True,False,1,,160.0,ENSG00000242512,LNCRNA
LINC01210,False,True,False,1,,693.0,ENSG00000239513,LNCRNA
LINC01224,False,True,False,1,,4051.0,ENSG00000269416,LNCRNA
LINC01226,False,True,False,1,,3.0,ENSG00000284543,LNCRNA
LINC01232,False,True,False,1,,1165.0,ENSG00000280734,LNCRNA
LINC01234,False,True,False,1,,2365.0,ENSG00000249550,LNCRNA
LINC01235,True,False,False,1,3924.0,,ENSG00000270547,LNCRNA
LINC01238,False,True,False,1,,1036.0,"ENSG00000237940,ENSG00000261186,ENSG00000280733,ENSG00000281213",LNCRNA
LINC01241,False,True,False,1,,981.0,ENSG00000236306,LNCRNA
LINC01247,False,True,False,1,,987.0,ENSG00000227007,LNCRNA
LINC01250,False,True,False,1,,458.0,ENSG00000234423,LNCRNA
LINC01285,False,True,False,1,,19.0,ENSG00000203650,LNCRNA
LINC01287,False,True,False,1,,2042.0,ENSG00000234722,LNCRNA
LINC01299,False,True,False,1,,1241.0,ENSG00000254081,LNCRNA
LINC01310,False,True,False,1,,1277.0,ENSG00000205632,LNCRNA
LINC01322,False,True,False,1,,4624.0,ENSG00000244128,LNCRNA
LINC01355,False,True,False,1,,2656.0,"ENSG00000261326,ENSG00000283124",LNCRNA
LINC01356,False,True,False,1,,4655.0,ENSG00000215866,LNCRNA
LINC01359,False,True,False,1,,181.0,ENSG00000226891,LNCRNA
LINC01370,False,True,False,1,,1580.0,ENSG00000237767,LNCRNA
LINC01378,False,True,False,1,,282.0,ENSG00000236922,LNCRNA
LINC01405,True,False,False,1,2541.0,,ENSG00000185847,LNCRNA
LINC01409,False,True,False,1,,216.0,ENSG00000237491,LNCRNA
LINC01422,False,True,False,1,,131.0,ENSG00000223704,LNCRNA
LINC01424,False,True,False,1,,4119.0,ENSG00000236519,LNCRNA
LINC01427,False,True,False,1,,2133.0,ENSG00000225321,LNCRNA
LINC01442,False,True,False,1,,150.0,ENSG00000227510,LNCRNA
LINC01445,False,True,False,1,,219.0,ENSG00000231427,LNCRNA
LINC01446,False,True,False,1,,1386.0,ENSG00000205628,LNCRNA
LINC01460,False,True,False,1,,2620.0,ENSG00000205334,LNCRNA
LINC01471,False,True,False,1,,641.0,ENSG00000239921,LNCRNA
LINC01499,False,True,False,1,,236.0,ENSG00000255171,LNCRNA
LINC01501,False,True,False,1,,536.0,ENSG00000229613,LNCRNA
LINC01505,False,True,False,1,,2213.0,ENSG00000234323,LNCRNA
LINC01515,False,True,False,1,,4248.0,"ENSG00000228065,ENSG00000283079",LNCRNA
LINC01524,False,True,False,1,,4486.0,ENSG00000234948,LNCRNA
LINC01544,False,True,False,1,,493.0,ENSG00000260440,LNCRNA
LINC01562,False,True,False,1,,34.0,ENSG00000203356,LNCRNA
LINC01569,False,True,False,1,,2532.0,ENSG00000262468,LNCRNA
LINC01579,False,True,False,1,,961.0,ENSG00000258754,LNCRNA
LINC01581,False,True,False,1,,1131.0,ENSG00000259724,LNCRNA
LINC01582,False,True,False,1,,1864.0,ENSG00000259611,LNCRNA
LINC01584,False,True,False,1,,1481.0,ENSG00000260477,LNCRNA
LINC01595,False,True,False,1,,2816.0,ENSG00000259108,LNCRNA
LINC01608,False,True,False,1,,243.0,ENSG00000253877,LNCRNA
LINC01613,False,True,False,1,,3241.0,ENSG00000261432,LNCRNA
LINC01614,True,False,False,1,4920.0,,ENSG00000230838,LNCRNA
LINC01615,True,False,False,1,3254.0,,ENSG00000223485,LNCRNA
LINC01643,False,True,False,1,,296.0,ENSG00000236052,LNCRNA
LINC01671,False,True,False,1,,728.0,ENSG00000225431,LNCRNA
LINC01672,False,True,False,1,,3066.0,ENSG00000228750,LNCRNA
LINC01675,False,True,False,1,,2543.0,ENSG00000234142,LNCRNA
LINC01683,False,True,False,1,,2376.0,ENSG00000233480,LNCRNA
LINC01694,False,True,False,1,,767.0,ENSG00000233922,LNCRNA
LINC01695,False,True,False,1,,2088.0,ENSG00000236532,LNCRNA
LINC01698,False,True,False,1,,1090.0,ENSG00000231648,LNCRNA
LINC01707,False,True,False,1,,946.0,ENSG00000223883,LNCRNA
LINC01712,False,True,False,1,,2389.0,ENSG00000231364,LNCRNA
LINC01716,False,True,False,1,,902.0,ENSG00000225657,LNCRNA
LINC01719,False,True,False,1,,4750.0,ENSG00000233396,LNCRNA
LINC01721,False,True,False,1,,171.0,ENSG00000230133,LNCRNA
LINC01722,False,True,False,1,,3207.0,ENSG00000233048,LNCRNA
LINC01723,False,True,False,1,,1486.0,ENSG00000234265,LNCRNA
LINC01727,False,True,False,1,,89.0,ENSG00000279082,LNCRNA
LINC01737,False,True,False,1,,2741.0,ENSG00000232964,LNCRNA
LINC01748,False,True,False,1,,3020.0,ENSG00000226476,LNCRNA
LINC01749,False,True,False,1,,2933.0,ENSG00000272259,LNCRNA
LINC01761,False,True,False,1,,253.0,ENSG00000233907,LNCRNA
LINC01814,False,True,False,1,,3125.0,ENSG00000236008,LNCRNA
LINC01818,False,True,False,1,,3539.0,ENSG00000230645,LNCRNA
LINC01876,False,True,False,1,,4821.0,ENSG00000226383,LNCRNA
LINC01877,False,True,False,1,,300.0,ENSG00000238217,LNCRNA
LINC01885,False,True,False,1,,3223.0,ENSG00000237880,LNCRNA
LINC01902,False,True,False,1,,591.0,ENSG00000283503,LNCRNA
LINC01919,False,True,False,1,,664.0,ENSG00000263438,LNCRNA
LINC01921,False,True,False,1,,1683.0,ENSG00000223874,LNCRNA
LINC01933,False,True,False,1,,4627.0,ENSG00000254226,LNCRNA
LINC01949,False,True,False,1,,61.0,ENSG00000288569,LNCRNA
LINC01954,True,False,False,1,4080.0,,ENSG00000271952,LNCRNA
LINC01964,False,True,False,1,,342.0,ENSG00000260840,LNCRNA
LINC01965,False,True,False,1,,1123.0,ENSG00000256637,LNCRNA
LINC01986,False,True,False,1,,4000.0,ENSG00000223587,LNCRNA
LINC01992,False,True,False,1,,3977.0,ENSG00000260019,LNCRNA
LINC01994,False,True,False,1,,832.0,ENSG00000241098,LNCRNA
LINC01997,False,True,False,1,,1480.0,ENSG00000241383,LNCRNA
LINC02010,False,True,False,1,,2755.0,ENSG00000242671,LNCRNA
LINC02013,False,True,False,1,,119.0,ENSG00000228730,LNCRNA
LINC02018,False,True,False,1,,973.0,"ENSG00000272690,ENSG00000288312",LNCRNA
LINC02028,False,True,False,1,,3006.0,ENSG00000230102,LNCRNA
LINC02053,False,True,False,1,,1265.0,ENSG00000241696,LNCRNA
LINC02054,False,True,False,1,,807.0,"ENSG00000224153,ENSG00000281250",LNCRNA
LINC02064,False,True,False,1,,3239.0,ENSG00000248391,LNCRNA
LINC02065,False,True,False,1,,1847.0,ENSG00000248846,LNCRNA
LINC02073,False,True,False,1,,353.0,ENSG00000267452,LNCRNA
LINC02074,False,True,False,1,,3474.0,ENSG00000266357,LNCRNA
LINC02080,False,True,False,1,,1037.0,ENSG00000267065,LNCRNA
LINC02109,False,True,False,1,,638.0,"ENSG00000259786,ENSG00000274882",LNCRNA
LINC02111,False,True,False,1,,3008.0,ENSG00000250822,LNCRNA
LINC02112,False,True,False,1,,450.0,ENSG00000249781,LNCRNA
LINC02128,False,True,False,1,,2885.0,ENSG00000261241,LNCRNA
LINC02140,False,True,False,1,,4050.0,ENSG00000261803,LNCRNA
LINC02175,False,True,False,1,,378.0,ENSG00000262155,LNCRNA
LINC02193,False,True,False,1,,3734.0,ENSG00000260923,LNCRNA
LINC02196,False,True,False,1,,746.0,ENSG00000250974,LNCRNA
LINC02207,False,True,False,1,,1848.0,ENSG00000258476,LNCRNA
LINC02208,True,True,False,2,4864.0,4196.0,ENSG00000250891,LNCRNA
LINC02231,False,True,False,1,,4456.0,ENSG00000248995,LNCRNA
LINC02249,False,True,False,1,,2850.0,ENSG00000225930,LNCRNA
LINC02250,False,True,False,1,,461.0,ENSG00000235731,LNCRNA
LINC02263,False,True,False,1,,1217.0,ENSG00000228358,LNCRNA
LINC02269,False,True,False,1,,3299.0,ENSG00000250708,LNCRNA
LINC02275,False,True,False,1,,697.0,ENSG00000248319,LNCRNA
LINC02312,False,True,False,1,,2470.0,ENSG00000258869,LNCRNA
LINC02324,False,True,False,1,,53.0,ENSG00000255002,LNCRNA
LINC02325,False,True,False,1,,2815.0,ENSG00000246084,LNCRNA
LINC02338,False,True,False,1,,2770.0,ENSG00000277448,LNCRNA
LINC02344,False,True,False,1,,2507.0,ENSG00000227911,LNCRNA
LINC02357,False,True,False,1,,2591.0,ENSG00000283314,LNCRNA
LINC02359,False,True,False,1,,2486.0,ENSG00000284848,LNCRNA
LINC02362,False,True,False,1,,2104.0,ENSG00000249096,LNCRNA
LINC02395,False,True,False,1,,4198.0,ENSG00000257771,LNCRNA
LINC02396,False,True,False,1,,2379.0,ENSG00000258135,LNCRNA
LINC02401,False,True,False,1,,917.0,ENSG00000257762,LNCRNA
LINC02405,False,True,False,1,,4159.0,"ENSG00000249345,ENSG00000285478",LNCRNA
LINC02406,False,True,False,1,,2705.0,ENSG00000258144,LNCRNA
LINC02488,False,True,False,1,,3570.0,ENSG00000249362,LNCRNA
LINC02492,False,True,False,1,,630.0,ENSG00000250590,LNCRNA
LINC02499,False,True,False,1,,2668.0,ENSG00000250436,LNCRNA
LINC02502,True,False,False,1,3460.0,,ENSG00000250392,LNCRNA
LINC02532,False,True,False,1,,3364.0,ENSG00000235142,LNCRNA
LINC02558,False,True,False,1,,141.0,ENSG00000230866,LNCRNA
LINC02614,False,True,False,1,,1535.0,ENSG00000241288,LNCRNA
LINC02619,False,True,False,1,,643.0,"ENSG00000249382,ENSG00000288122",LNCRNA
LINC02632,False,True,False,1,,1662.0,ENSG00000234864,LNCRNA
LINC02645,False,True,False,1,,237.0,ENSG00000234170,LNCRNA
LINC02654,False,True,False,1,,2754.0,ENSG00000226140,LNCRNA
LINC02694,False,True,False,1,,1680.0,ENSG00000175779,LNCRNA
LINC02710,False,True,False,1,,3752.0,ENSG00000255269,LNCRNA
LINC02733,False,True,False,1,,2114.0,ENSG00000255553,LNCRNA
LINC02756,False,True,False,1,,737.0,ENSG00000255332,LNCRNA
LINC02763,False,True,False,1,,1230.0,ENSG00000254968,LNCRNA
LINC02790,False,True,False,1,,1796.0,ENSG00000237435,LNCRNA
LINC02837,False,True,False,1,,4518.0,ENSG00000264464,LNCRNA
LINC02839,False,True,False,1,,3488.0,ENSG00000254123,LNCRNA
LINC02840,False,True,False,1,,3349.0,ENSG00000224893,LNCRNA
LINC02857,False,True,False,1,,184.0,ENSG00000230852,LNCRNA
LINC02860,False,True,False,1,,2623.0,ENSG00000222004,LNCRNA
LINC02871,False,True,False,1,,731.0,ENSG00000125899,LNCRNA
LINC02882,False,True,False,1,,4369.0,ENSG00000251138,LNCRNA
LINC02884,True,False,False,1,4912.0,,ENSG00000231246,LNCRNA
LINC02893,True,True,False,2,3664.0,3027.0,ENSG00000269994,LNCRNA
LINC02915,True,False,False,1,3209.0,,ENSG00000175746,LNCRNA
LINC02925,True,True,False,2,2562.0,4887.0,ENSG00000234869,LNCRNA
LINC02932,False,True,False,1,,1240.0,ENSG00000243144,LNCRNA
LINC02937,False,True,False,1,,813.0,ENSG00000230537,LNCRNA
LINC02940,False,True,False,1,,1130.0,ENSG00000235888,LNCRNA
LINC02941,True,False,False,1,4476.0,,ENSG00000236013,LNCRNA
LINC02942,False,True,False,1,,2784.0,ENSG00000237074,LNCRNA
LINC02944,False,True,False,1,,2943.0,ENSG00000238276,LNCRNA
LINC02964,False,True,False,1,,139.0,ENSG00000286122,LNCRNA
LINC02965,False,True,False,1,,669.0,ENSG00000269086,LNCRNA
LINC02982,False,True,False,1,,4761.0,"ENSG00000215246,ENSG00000281019",LNCRNA
LINC02984,True,False,False,1,3470.0,,ENSG00000237807,LNCRNA
LINC02991,False,True,False,1,,4561.0,ENSG00000196758,LNCRNA
LINC03006,False,True,False,1,,2127.0,ENSG00000272693,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
LINC03009,False,True,False,1,,2224.0,"ENSG00000205485,ENSG00000282254",TRANSCRIBED_UNPROCESSED_PSEUDOGENE
LINC03031,True,False,False,1,306.0,,ENSG00000254584,LNCRNA
LMCD1-AS1,False,True,False,1,,2624.0,ENSG00000227110,LNCRNA
LNX1-AS2,False,True,False,1,,668.0,ENSG00000248494,LNCRNA
LPP-AS1,False,True,False,1,,118.0,ENSG00000224563,LNCRNA
LRP5L,False,True,False,1,,4298.0,ENSG00000100068,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
LRRC77P,False,True,False,1,,2482.0,ENSG00000244227,TRANSCRIBED_UNITARY_PSEUDOGENE
LSM12P1,True,False,False,1,2982.0,,ENSG00000232024,PROCESSED_PSEUDOGENE
LTV1P1,False,True,False,1,,3868.0,ENSG00000250219,PROCESSED_PSEUDOGENE
LY86-AS1,False,True,False,1,,588.0,ENSG00000216863,LNCRNA
MACROD2-AS1,False,True,False,1,,573.0,ENSG00000235914,LNCRNA
MACROD2-IT1,False,True,False,1,,864.0,ENSG00000227927,LNCRNA
MAGI1-AS1,False,True,False,1,,4622.0,ENSG00000240175,LNCRNA
MAGI1-IT1,False,True,False,1,,2196.0,ENSG00000272610,LNCRNA
MAGI2-AS1,False,True,False,1,,939.0,ENSG00000251276,LNCRNA
MAILR,False,True,False,1,,1536.0,ENSG00000253320,LNCRNA
MALAT1,True,False,False,1,4231.0,,ENSG00000251562,LNCRNA
MALINC1,False,True,False,1,,2254.0,ENSG00000245146,LNCRNA
MANCR,True,False,False,1,3612.0,,ENSG00000231298,LNCRNA
MAP3K5-AS2,False,True,False,1,,4271.0,ENSG00000286646,LNCRNA
MAP3K9-DT,False,True,False,1,,1652.0,ENSG00000259153,LNCRNA
MARCHF11-AS1,True,False,False,1,4120.0,,ENSG00000250981,LNCRNA
MARK2P8,False,True,False,1,,1532.0,ENSG00000239503,PROCESSED_PSEUDOGENE
MCCC1-AS1,False,True,False,1,,1882.0,ENSG00000243368,LNCRNA
MED15P7,False,True,False,1,,415.0,ENSG00000234381,UNPROCESSED_PSEUDOGENE
MEG3,True,False,False,1,171.0,,ENSG00000214548,LNCRNA
MEG9,True,False,False,1,4404.0,,ENSG00000223403,LNCRNA
METTL14-DT,False,True,False,1,,955.0,ENSG00000281731,LNCRNA
METTL21AP1,False,True,False,1,,494.0,ENSG00000229623,PROCESSED_PSEUDOGENE
MFF-DT,False,True,False,1,,593.0,ENSG00000236432,LNCRNA
MFSD14C,False,True,False,1,,2918.0,ENSG00000196312,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
MIATNB,False,True,False,1,,4827.0,ENSG00000244625,LNCRNA
MIOS-DT,False,True,False,1,,4053.0,ENSG00000272894,LNCRNA
MIR1-1HG,True,False,False,1,1813.0,,ENSG00000174407,LNCRNA
MIR124-1HG,False,True,False,1,,1405.0,"ENSG00000253230,ENSG00000284859",LNCRNA
MIR124-2HG,False,True,False,1,,548.0,ENSG00000254377,LNCRNA
MIR1255B2,False,True,False,1,,70.0,ENSG00000221545,MIRNA
MIR1285-1,False,True,False,1,,4616.0,ENSG00000221520,MIRNA
MIR1296,False,True,False,1,,213.0,ENSG00000221063,MIRNA
MIR1299,False,True,False,1,,2438.0,ENSG00000275377,MIRNA
MIR133A1HG,True,False,False,1,740.0,,ENSG00000265142,LNCRNA
MIR137HG,True,False,False,1,4378.0,,ENSG00000225206,LNCRNA
MIR142HG,False,True,False,1,,3026.0,ENSG00000265206,LNCRNA
MIR1537,False,True,False,1,,3816.0,ENSG00000222831,MIRNA
MIR186,False,True,False,1,,4291.0,ENSG00000207721,MIRNA
MIR223HG,True,True,False,2,1773.0,1095.0,ENSG00000274536,LNCRNA
MIR2278,False,True,False,1,,1594.0,ENSG00000252153,MIRNA
MIR22HG,True,False,False,1,1414.0,,"ENSG00000186594,ENSG00000282800",LNCRNA
MIR2355,False,True,False,1,,1905.0,ENSG00000253008,MIRNA
MIR29B2CHG,True,True,False,2,2621.0,4790.0,ENSG00000203709,LNCRNA
MIR30DHG,True,True,False,2,4114.0,3224.0,ENSG00000259820,LNCRNA
MIR3135A,False,True,False,1,,2135.0,ENSG00000266745,MIRNA
MIR3139,False,True,False,1,,539.0,ENSG00000265623,MIRNA
MIR3140,False,True,False,1,,776.0,ENSG00000264678,MIRNA
MIR3648-1,True,False,False,1,685.0,,ENSG00000275708,MIRNA
MIR3648-2,True,False,False,1,686.0,,ENSG00000264462,MIRNA
MIR3936HG,False,True,False,1,,423.0,ENSG00000233006,LNCRNA
MIR4265,False,True,False,1,,2567.0,ENSG00000264934,MIRNA
MIR4280HG,False,True,False,1,,288.0,ENSG00000233828,LNCRNA
MIR4319,False,True,False,1,,3928.0,ENSG00000265957,MIRNA
MIR4441,False,True,False,1,,4679.0,ENSG00000264810,MIRNA
MIR4502,False,True,False,1,,2947.0,ENSG00000265450,MIRNA
MIR4516,False,True,False,1,,4757.0,ENSG00000265867,MIRNA
MIR4644,False,True,False,1,,2533.0,ENSG00000266245,MIRNA
MIR4714,False,True,False,1,,2556.0,ENSG00000264480,MIRNA
MIR4729,False,True,False,1,,829.0,ENSG00000263857,MIRNA
MIR5190,False,True,False,1,,2472.0,ENSG00000266146,MIRNA
MIR5194,False,True,False,1,,2707.0,ENSG00000264653,MIRNA
MIR548A1,False,True,False,1,,2896.0,ENSG00000207775,MIRNA
MIR548AA1,False,True,False,1,,185.0,ENSG00000207704,MIRNA
MIR548AA2,False,True,False,1,,399.0,ENSG00000207688,MIRNA
MIR548AJ2,False,True,False,1,,98.0,ENSG00000221466,MIRNA
MIR548AZ,False,True,False,1,,2080.0,ENSG00000276479,MIRNA
MIR548C,False,True,False,1,,329.0,ENSG00000207546,MIRNA
MIR548D1,False,True,False,1,,179.0,ENSG00000283172,MIRNA
MIR548D2,False,True,False,1,,400.0,ENSG00000263690,MIRNA
MIR548F1,False,True,False,1,,354.0,ENSG00000221594,MIRNA
