gene,variance,variance_rank,selected
SCARNA10,20.19656151141997,179,True
KRT7,20.174608092524224,180,True
A2M,20.15328182179736,181,True
TNNI3K,20.126563801738268,182,True
IGF2,20.003055239132305,183,True
PRRC2A,19.953216900549428,184,True
SERPINA1,19.92923990270215,185,True
DPT,19.922338698267417,186,True
ASB2,19.883302401054006,187,True
HLA-A,19.868668588740988,188,True
HBA1,19.86504577495086,189,True
ENSG00000288534,19.854891071069485,190,True
RNU2-2P,19.83393132548633,191,True
MMP14,19.827751124334185,192,True
KCNH2,19.822581263689266,193,True
VASN,19.78599933342464,194,True
AQP1,19.76215549866316,195,True
RPLP0P9,19.73784159404012,196,True
S100A9,19.701385838722842,197,True
FREM1,19.66110489184652,198,True
DLK1,19.62913918380398,199,True
ZBED6,19.597507056091256,200,True
STAB1,19.59672832358773,201,True
RCAN2,19.594217675816935,202,True
HLA-A,19.57177655765167,203,True
TMEM176B,19.56523247438344,204,True
MT-TN,19.534513182817783,205,True
FREM2,19.524848521855287,206,True
KLHL41,19.502056260223906,207,True
ENSG00000288947,19.50187497792552,208,True
TBX5,19.480106367700298,209,True
COBL,19.357334750643812,210,True
HLA-C,19.356248255797635,211,True
TIMP3,19.32987982340297,212,True
ENSG00000283907,19.312050577534485,213,True
ENSG00000267328,19.219049396395505,214,True
LYZ,19.216760753101163,215,True
TBX20,19.216189561331895,216,True
CXCL6,19.202828669588637,217,True
IER3,19.19368406772249,218,True
PPARGC1A,19.15321793126278,219,True
DUSP26,19.14013762275652,220,True
ADIRF,19.087695080258584,221,True
FKBP10,19.074582948047492,222,True
MFAP4,19.024895964897485,223,True
C4A,19.010289676691876,224,True
ALPK3,18.960625018859126,225,True
FN1,18.91264988595392,226,True
DSP,18.907207623436165,227,True
AGPAT1,18.895942492837516,228,True
CPVL,18.81420355845624,229,True
HAND1,18.789900662405746,230,True
FABP4,18.784393211287718,231,True
ITGB1P1,18.76633985052831,232,True
LCP1,18.722502487807823,233,True
C3,18.719048251081688,234,True
CD163,18.669170622492082,235,True
TUBB,18.63377645224197,236,True
PTGDS,18.568260742530516,237,True
MMP15,18.543389156530136,238,True
ENSG00000215861,18.42182806419762,239,True
FAP,18.37808341161445,240,True
IGKC,18.370718218302784,241,True
KDM5D,18.359885892244037,242,True
CCN2,18.35300206647388,243,True
ENO3,18.31941003989601,244,True
NDRG2,18.30386038427139,245,True
FMO2,18.297949594465532,246,True
FXYD1,18.289897829472483,247,True
SMOC2,18.288604734327183,248,True
GIMAP8,18.28295861940293,249,True
C1QB,18.249515140545654,250,True
PCDH10,18.239475819905582,251,True
MGP,18.222044812287567,252,True
GIMAP7,18.19683022032082,253,True
FCGR3A,18.1888363044397,254,True
GJA3,18.178249552155783,255,True
COL18A1,18.145466042347955,256,True
MXRA5,18.143940858467403,257,True
PPP1R16B,18.13837194971046,258,True
MFAP5,18.08886783252906,259,True
ADPRHL1,18.076561956120074,260,True
C1QA,18.052265007590528,261,True
HSPA1A,18.051976388219156,262,True
LENG8,18.049769103766828,263,True
MAPK4,18.04893834567058,264,True
BCYRN1,18.023424172590516,265,True
MYLK3,18.012491640139544,266,True
ESM1,18.00306282500894,267,True
NOMO1,17.99746351367283,268,True
IGSF9B,17.976661954244776,269,True
IGFBP5,17.962803431110505,270,True
CLDN5,17.951028356507933,271,True
OBSCN,17.930033593395844,272,True
CD74,17.879295314163397,273,True
HRH2,17.877418660292964,274,True
LSS,17.8713098796327,275,True
FBN2,17.867753858055423,276,True
HSPB2,17.830991107080916,277,True
ENSG00000288673,17.7486820647969,278,True
JPH2,17.748269794415368,279,True
COL12A1,17.74247294945207,280,True
CACNA1C,17.73408865517952,281,True
CNN1,17.72429801169967,282,True
HSPA1A,17.701062107517444,283,True
CD36,17.6673494431933,284,True
ENSG00000286071,17.654309786715253,285,True
NES,17.650471362983573,286,True
PDK4,17.626953498456224,287,True
PLCXD3,17.62511747180756,288,True
ENSG00000289697,17.58687823490744,289,True
AGRN,17.57751899071697,290,True
BCL6B,17.564864295287595,291,True
HLA-B,17.560575592664016,292,True
LINC00881,17.54500517601857,293,True
HLA-C,17.510762439630234,294,True
KDR,17.508949701062136,295,True
KLF13,17.500612487557355,296,True
HAPLN1,17.497067525497243,297,True
SFRP4,17.491739935628555,298,True
TM4SF1,17.486419231839324,299,True
SCARNA2,17.482248132264818,300,True
ENSG00000240801,17.458834276966353,301,True
MFNG,17.456563926830903,302,True
APOA1,17.42230191113638,303,True
KCNQ1,17.411140282897904,304,True
RBPMS2,17.40408113806631,305,True
LINC03031,17.393439480809295,306,True
PARM1,17.35097093944783,307,True
LTBP2,17.304341605890283,308,True
PPFIA4,17.28873838623207,309,True
TGM2,17.26973527027481,310,True
RNASE1,17.257609414399244,311,True
C14ORF180,17.25303530555903,312,True
TXLNGY,17.248822824466377,313,True
C1QC,17.224011109463795,314,True
ENSG00000289493,17.196952077764465,315,True
APOB,17.1894793105122,316,True
ATP1A3,17.183070719957286,317,True
DSC2,17.1751780674421,318,True
PTP4A3,17.15716021676315,319,True
PTPRC,17.14889292479144,320,True
TXLNB,17.139996555395932,321,True
MAOB,17.134077885287866,322,True
CASQ1,17.09184738386855,323,True
ENSG00000259976,17.078056412767495,324,True
HSPA1B,17.0729419390122,325,True
CSF2RB,17.056952321939285,326,True
ESRRG,17.03837203115308,327,True
ENSG00000289754,17.016316723369314,328,True
FGF12,17.010483594892595,329,True
ADGRF5,17.000018610427365,330,True
PCBP1,16.998644289692642,331,True
ENSG00000282788,16.995563757976498,332,True
MPEG1,16.985459306736548,333,True
H4C3,16.975519100239712,334,True
KRT19,16.97092820711544,335,True
GATA4,16.97055274727679,336,True
SORBS1,16.962230000693282,337,True
SPEG,16.95607549902403,338,True
MASP1,16.95231067851125,339,True
NT5E,16.9197004762774,340,True
SLC16A1,16.89720125028773,341,True
IGF2BP1,16.89499126101248,342,True
ITGA9,16.874689241818324,343,True
BANCR,16.863172737974928,344,True
HLA-C,16.85175112421069,345,True
COL15A1,16.83317745780849,346,True
COL14A1,16.823932660994824,347,True
TGFBI,16.80560340866424,348,True
HHIP,16.802638366699163,349,True
ESAM,16.794027994827207,350,True
H3P6,16.774368598102523,351,True
SCARNA7,16.768673167570263,352,True
LENG8,16.763945543895588,353,True
PCDH20,16.75505322671506,354,True
PRRC2A,16.74635886226236,355,True
GPNMB,16.736924806460628,356,True
FMOD,16.724735431677132,357,True
PKD1P1,16.705935018913884,358,True
RBM24,16.704621276479692,359,True
CEMIP,16.690327668659293,360,True
ADAMTS15,16.672716845922032,361,True
DDR1,16.659513976861554,362,True
APLNR,16.632160199316733,363,True
MYH7B,16.630652184815663,364,True
CD248,16.62476037329425,365,True
CACNA1C,16.618990850145764,366,True
SULT1E1,16.61627473753535,367,True
TIE1,16.606879687055933,368,True
MT2A,16.605444677449004,369,True
KCNJ4,16.582567853519734,370,True
PTGS2,16.574162994727054,371,True
HNRNPUL2-BSCL2,16.547455818459245,372,True
UTY,16.54558263026555,373,True
COL21A1,16.5427067214373,374,True
PTP4A3,16.541252771209916,375,True
APOE,16.524780319972646,376,True
AIF1L,16.517180635024836,377,True
PLEKHA7,16.50549498337252,378,True
COL5A1,16.48741301126533,379,True
P2RX1,16.470357164598358,380,True
LYVE1,16.464102492265127,381,True
PKD1,16.440129351013038,382,True
GPC1,16.416273718608384,383,True
PKP2,16.403338172701563,384,True
SERPINA3,16.391482877398825,385,True
ASPN,16.375158106756572,386,True
ENSG00000281383,16.37397643960924,387,True
TUBB,16.37386080951427,388,True
TUBB,16.37386080951427,389,True
TUBB,16.37386080951427,390,True
TUBB,16.37386080951427,391,True
TUBB,16.37386080951427,392,True
GAS7,16.373020517192124,393,True
SORBS2,16.362291758062085,394,True
PRSS42P,16.35452653282629,395,True
STC2,16.35304295591448,396,True
CRMA,16.350975900698273,397,True
IL1B,16.343712813458286,398,True
HCLS1,16.342118738294218,399,True
ALDH1A3,16.33005679094619,400,True
CHPF,16.307175088024405,401,True
SGCA,16.29723394353013,402,True
ZFY,16.291247761890038,403,True
ECSCR,16.281628411754088,404,True
ECSCR,16.281628411754088,405,True
FSCN1,16.248471328175263,406,True
ENSG00000288941,16.246529469535055,407,True
RAMP1,16.242691719015593,408,True
ENG,16.22116220880112,409,True
CSDC2,16.210287943302216,410,True
HEPH,16.2099523684434,411,True
MYPN,16.203028366691576,412,True
PTEN,16.200344121438484,413,True
TFPI2,16.19923804340912,414,True
HLA-DPA1,16.19735497477303,415,True
NNMT,16.19655857762265,416,True
PLIN4,16.194546049378587,417,True
COL6A1,16.19120466505951,418,True
SLC1A3,16.178160354321026,419,True
ITGB1BP2,16.174631054573503,420,True
SGCD,16.173235189056843,421,True
CRABP2,16.16717043675727,422,True
COL11A1,16.153890444723014,423,True
PDGFRB,16.152523694600628,424,True
APOD,16.14521769821336,425,True
IGFBP4,16.128467194525733,426,True
PWWP3B,16.127994510919283,427,True
ITGB2,16.12394110765409,428,True
POLR2A,16.10509827653151,429,True
SOD3,16.093791811779894,430,True
